계층1,계층2,계층3,계층4,계층5,설명,수정 필요성,수정 이유 및 세부사항
Header,,,,,모든 페이지에서 공통으로 사용되는 헤더 컴포넌트,X,
,Navigation,,,,Trading/Traders/Governance/Launch/Portfolio/Referrals 링크,X,
,Notifications,,,,알림 버튼 (종 모양 아이콘),X,
,Settings,,,,설정 페이지 링크 (톱니바퀴 아이콘),X,
,Wallet Connect,,,,지갑 연결 버튼,X,
LeftSidebar,,,,,왼쪽 사이드바 (공통 컴포넌트),X,
,Market Overview Card,,,,시장 전체 현황 카드,X,
,Top Movers Card,,,,상위 변동 인덱스 카드,X,
,Mini Portfolio Card,,,,포트폴리오 요약 카드,X,
,Recent Activity Card,,,,최근 활동 카드,X,
,Price Alerts Card,,,,가격 알림 설정 카드,X,
TradersPage Layout,,,,,메인 트레이더 리스트 페이지 레이아웃,X,
,Main Content Area,,,,중앙 컨텐츠 영역 (3컴럼 레이아웃),X,
,,Search & Filter Section,,,상단 검색 및 필터 섹션,X,
,,,Search Input,,트레이더 이름 검색 입력,X,
,,,Timeframe Selector,,시간대 선택 (24h/7d/30d),X,
,,,Filter Dropdown,,필터 드롭다운 (All/Top gainers/High win rate/New/Most followed),X,
,,,Sort Dropdown,,정렬 드롭다운 (ROI/Win rate/Followers/Trades/Rank),X,
,,,Sort Direction,,오름차순/내림차순 토글,X,
,,Top Traders List,,,트레이더 리스트,X,
,,,Column Headers,,컴럼 헤더,X,
,,,,Rank Column,순위,X,
,,,,Name Column,트레이더 이름,X,
,,,,ROI Column,수익률 컴럼,X,
,,,,Win Rate Column,승률 컴럼,X,
,,,,Trades Column,거래 횟수 컴럼,X,
,,,,Followers Column,팔로워 수 컴럼,X,
,,,,AUM Column,운용자산 컴럼,X,
,,,Trader Rows,,트레이더 행,X,
,,,,Trader Avatar,트레이더 아바타 이미지,X,
,,,,Trader Name,트레이더 이름 및 핸들,X,
,,,,Performance Badge,성과 배지 (상승/하락 색상),X,
,,,,ROI Display,수익률 표시 (백분율),X,
,,,,Win Rate Display,승률 표시 (백분율),X,
,,,,Trade Count,총 거래 횟수,X,
,,,,Followers Count,팔로워 수,X,
,,,,AUM Amount,운용자산 금액 ($),X,
,,,,View Details Button,상세보기 버튼,X,
,,Pagination,,,페이지네이션,X,
,,,Previous Button,,이전 페이지 버튼,X,
,,,Page Numbers,,페이지 번호,X,
,,,Next Button,,다음 페이지 버튼,X,
,,,Results Count,,총 결과 수 표시,X,
,Top Traders Sidebar,,,,우측 Top Traders 사이드바,X,
,,Featured Traders,,,주요 트레이더 하이라이트,X,
,,,Top 3 Performers,,상위 3명 트레이더,X,
,,,,Trader Card,트레이더 카드,X,
,,,,,Profile Image,프로필 이미지,X,
,,,,,Name & Handle,이름 및 핸들,X,
,,,,,Performance Stats,성과 통계,X,
,,,,,Follow Button,팔로우 버튼,X,
,,Weekly Leaderboard,,,주간 리더보드,X,
,,,This Week's Top 5,,이번 주 상위 5명,X,
,,Trading Stats,,,거래 통계,X,
,,,Total Traders,,,전체 트레이더 수,X,
,,,Active This Week,,,이번 주 활성 트레이더,X,
