계층1,계층2,계층3,계층4,계층5,설명,수정 필요성,수정 이유 및 세부사항
TradingBottomTabs,Positions,Header,,,"Active Positions 제목과 Open 카운트 뱃지",X,
TradingBottomTabs,Positions,포지션 카드,Symbol,,"인덱스 심볼 + 레버리지 표기",X,
TradingBottomTabs,Positions,포지션 카드,Side/Size,,"매수·매도 뱃지와 사이즈 수치",X,
TradingBottomTabs,Positions,포지션 카드,Entry/Mark,,"진입가 대비 마크 가격 정보",X,
TradingBottomTabs,Positions,포지션 카드,P&L,,"달러·퍼센트 손익 (색상 강조)",X,
TradingBottomTabs,Positions,포지션 카드,Margin,,"증거금 금액",X,
TradingBottomTabs,Positions,포지션 카드,Liquidation,,"청산가 + 현재가 대비 괴리",X,
TradingBottomTabs,Positions,포지션 카드,ADL/Funding,,"ADL 단계 뱃지와 펀딩 비율",X,
TradingBottomTabs,Positions,포지션 카드,Actions,,"Add / Reduce / Close / TP·SL 버튼",X,
TradingBottomTabs,Open Orders,Header,,,"Open Orders 제목과 개수 표시",X,
TradingBottomTabs,Open Orders,오더 카드,Side/Type,,"매수·매도 뱃지 + 주문 유형",X,
TradingBottomTabs,Open Orders,오더 카드,Size @ Price,,"수량과 지정가",X,
TradingBottomTabs,Open Orders,오더 카드,Timestamp/Status,,"체결률과 주문 상태, 시간",X,
TradingBottomTabs,Order History,Header,,,"Order History 제목 / CSV 내보내기 버튼",X,
TradingBottomTabs,Order History,통계 카드,Filled/Cancelled/Expired,,"상단 4개 통계 카드와 필률",X,
TradingBottomTabs,Order History,상세 카드,Status & Side,,"상태·매수/매도 뱃지, 심볼",X,
TradingBottomTabs,Order History,상세 카드,Price & Quantity,,"요청가/체결가/수량·체결률",X,
TradingBottomTabs,Order History,상세 카드,Fee & Type,,"수수료 금액과 maker/taker 라벨",X,
TradingBottomTabs,Order History,상세 카드,Execution Analysis,,"슬리피지, 시장 영향, 상세 버튼",X,
TradingBottomTabs,Order History,상세 카드,Load more,,"하단 Load More Orders 링크",X,
TradingBottomTabs,Market Data,Header,,,"Market Data Analysis 제목 + Real-time 뱃지",X,
TradingBottomTabs,Market Data,서브탭,Order Book,,"깊이·스프레드·체결량 분석 카드",X,
TradingBottomTabs,Market Data,서브탭,Order Book,Hourly Volume,"시간대별 거래량 바와 Buy Ratio",X,
TradingBottomTabs,Market Data,서브탭,Order Book,Volatility,"Historical/Implied Vol·GARCH 예측",X,
TradingBottomTabs,Market Data,서브탭,Top Traders,,"트레이더 분포·랭킹 리스트",X,
TradingBottomTabs,Market Data,서브탭,Top Traders,Strategies,"인기 전략 카드와 빅 트레이드 로그",X,
TradingBottomTabs,Market Data,서브탭,Holders,,"홀더 분포/탑 홀더/머니 플로우",X,
TradingBottomTabs,Market Data,서브탭,Whale Alert,,"고래 주문·대규모 거래·요약 카드",X,
TradingBottomTabs,Assets,Header,,,"Assets Overview 제목과 Portfolio 뱃지",X,
TradingBottomTabs,Assets,자산 리스트,Asset row,,"자산별 아이콘·총량·가용 잔고",X,
