문서 이름,Task-DB,검토자,생성 일시,생성자,최종 업데이트 시간,최종 편집자:,카테고리
2025OCT02 OKRs,,HyunSu Choi,2025년 10월 25일 오후 6:33,현 김,2025년 10월 28일 오후 5:05,현 김,작업 계획
작업 계획안 템플릿,,,2025년 10월 25일 오후 6:33,현 김,2025년 10월 26일 오후 9:00,현 김,작업 계획
피드백 요청 템플릿,,,2025년 10월 25일 오후 6:33,현 김,2025년 10월 26일 오후 8:57,현 김,피드백 요청
Re: TGE 기반 화폐 단위 및 컴포넌트 전역 수정 Feedback,,HyunSu Choi,2025년 10월 25일 오후 6:33,현 김,2025년 10월 26일 오후 8:57,현 김,피드백 답변
Re: SQL injection 대비 전역 검사 및 리포트 작성 Feedback,,"HyunSu Choi, Seojun Maeng",2025년 10월 25일 오후 6:48,현 김,2025년 10월 26일 오후 8:57,현 김,피드백 답변
Re: Discover 페이지 완성 Feedback,,HyunSu Choi,2025년 10월 25일 오후 6:49,현 김,2025년 10월 26일 오후 8:57,현 김,피드백 답변
Re: docs 페이지 생성 Feedback,,HyunSu Choi,2025년 10월 25일 오후 6:49,현 김,2025년 10월 27일 오후 6:39,HyunSu Choi,피드백 답변
Re: Launch 페이지 coreindex 리소스로 Feedback,,HyunSu Choi,2025년 10월 25일 오후 6:49,현 김,2025년 10월 26일 오후 8:57,현 김,피드백 답변
피드백 답변 템플릿,,,2025년 10월 25일 오후 6:55,현 김,2025년 10월 26일 오후 8:57,현 김,피드백 답변
Re: Weekly Recap- 2025OCTWeek02Front,,HyunSu Choi,2025년 10월 25일 오후 6:56,현 김,2025년 10월 26일 오후 8:57,현 김,피드백 답변
"Trading - ChartArea - Info, Trading Data",,,2025년 10월 25일 오후 8:25,현 김,2025년 10월 26일 오후 8:57,현 김,피드백 요청
2025OCT04 Task Plan - Currency & Preferences,Frontend - Currency & Preferences (https://www.notion.so/Frontend-Currency-Preferences-298944d77956803182caebc3b601e2d8?pvs=21),HyunSu Choi,2025년 10월 26일 오후 4:38,현 김,2025년 10월 28일 오후 4:19,현 김,작업 계획
2025OCT04 Task Plan - Security,Frontend - Security (https://www.notion.so/Frontend-Security-298944d779568005a134c30604204adf?pvs=21),,2025년 10월 26일 오후 4:38,현 김,2025년 10월 28일 오후 4:50,현 김,작업 계획
2025OCT04 Task Plan - Discover Page,Frontend - Discover Page (https://www.notion.so/Frontend-Discover-Page-298944d779568063a291c1a2f86bdc55?pvs=21),,2025년 10월 26일 오후 4:39,현 김,2025년 10월 28일 오후 4:19,현 김,작업 계획
2025OCT04 Task Plan - HyperIndex Docs,Frontend - Hyperindex Docs (https://www.notion.so/Frontend-Hyperindex-Docs-298944d77956802ca244efb99448d7a2?pvs=21),,2025년 10월 26일 오후 4:52,현 김,2025년 10월 28일 오후 4:19,현 김,작업 계획
2025OCT04 Task Plan - Launch Page,Frontend - Launch Page (https://www.notion.so/Frontend-Launch-Page-298944d779568094bf1be18570795957?pvs=21),,2025년 10월 26일 오후 4:52,현 김,2025년 10월 28일 오후 4:19,현 김,작업 계획
2025OCT04 Task Plan - Refferals Page,Frontend - Refferals Page (https://www.notion.so/Frontend-Refferals-Page-298944d7795680aea31cfa88bbb0bee2?pvs=21),,2025년 10월 26일 오후 4:53,현 김,2025년 10월 28일 오후 4:19,현 김,작업 계획
2025OCT04 Task Plan - Governance Page,Frontend - Governance Page (https://www.notion.so/Frontend-Governance-Page-298944d7795680779bfaeb53246b04ad?pvs=21),,2025년 10월 26일 오후 4:53,현 김,2025년 10월 28일 오후 4:19,현 김,작업 계획
2025OCT04 Task Plan - Trading Page,Frontend - Trading Page (https://www.notion.so/Frontend-Trading-Page-298944d7795680ef9f82f55f59f975bf?pvs=21),,2025년 10월 26일 오후 4:54,현 김,2025년 10월 28일 오후 4:19,현 김,작업 계획
