이름,ID,생성일,최종 편집 일시,최종 편집자,태그
1. Business Story / 1-Pager,HI-SSOT-1,2025년 11월 19일 오전 2:28,2025년 11월 19일 오후 3:28,HyunSu Choi,Vision & Opportunity
2. Problem Worth Solving (Problem Definition),HI-SSOT-2,2025년 11월 19일 오전 6:11,2025년 11월 19일 오후 5:34,HyunSu Choi,Vision & Opportunity
3. Our Solution,HI-SSOT-3,2025년 11월 19일 오후 12:50,2025년 11월 19일 오후 3:28,HyunSu Choi,Vision & Opportunity
4. Validation of Problem & Solution,HI-SSOT-4,2025년 11월 19일 오후 1:31,2025년 11월 19일 오후 4:10,HyunSu Choi,Vision & Opportunity
Procotol_Labs_RevenueProjection_2025_11_14,HI-SSOT-8,2025년 11월 19일 오후 2:41,2025년 11월 19일 오후 2:41,HyunSu Choi,Document
Wanted Index Makers,HI-SSOT-9,2025년 11월 19일 오후 2:48,2025년 11월 19일 오후 2:49,HyunSu Choi,Document
6. Market Analysis & Trends,HI-SSOT-6,2025년 11월 19일 오후 2:18,2025년 11월 19일 오후 4:06,HyunSu Choi,Vision & Opportunity
Revenue Flow Overview,HI-SSOT-7,2025년 11월 19일 오후 2:23,2025년 11월 19일 오후 2:31,HyunSu Choi,Document
5. Target Market & Segments,HI-SSOT-5,2025년 11월 19일 오후 1:52,2025년 11월 20일 오후 3:33,Seojun Maeng,Vision & Opportunity
7. Competition & Our Advantages,HI-SSOT-10,2025년 11월 19일 오후 4:32,2025년 11월 19일 오후 5:34,HyunSu Choi,Vision & Opportunity
8. Barriers to Entry,HI-SSOT-11,2025년 11월 19일 오후 5:27,2025년 11월 19일 오후 5:40,HyunSu Choi,Vision & Opportunity
9. Current Progress & Roadmap,HI-SSOT-12,2025년 11월 20일 오전 4:14,2025년 11월 20일 오전 4:26,HyunSu Choi,Vision & Opportunity
