계층1,계층2,계층3,계층4,계층5,설명,수정 필요성
Header,,,,,모든 페이지에서 공통으로 사용되는 상단 헤더,X
,Logo Section,,,,HyperIndex 로고 영역,X
,,HyperIndex Logo,,,메인 로고 이미지 (hyperindex-text.svg),X
,Navigation Menu,,,,메인 네비게이션 메뉴,X
,,Trading,,,거래 페이지로 이동,X
,,Traders,,,트레이더 페이지로 이동,X
,,Governance,,,거버넌스 투표 페이지로 이동,X
,,Launch,,,인덱스 생성 페이지로 이동 (구 Create),X
,,Portfolio,,,포트폴리오 페이지로 이동,X
,,Referrals,,,레퍼럴 페이지로 이동,X
,Right Actions,,,,우측 액션 버튼들,X
,,NotificationsButton,,,알림 버튼 (종 모양 아이콘),X
,,,Notification Dropdown,,알림 드롭다운 메뉴,X
,,,,Notification Items,개별 알림 항목들,X
,,,,View All,모든 알림 보기 링크,X
,,Settings Link,,,설정 페이지 링크 (톱니바퀴 아이콘),X
,,WalletConnectButton,,,지갑 연결 버튼,X
,,,Wallet Modal,,지갑 연결 모달 (Privy),O
LeftSidebar,,,,,여러 페이지에서 공통으로 사용되는 왼쪽 사이드바,X
,Market Overview Card,,,,시장 전체 현황 카드,X
,,Total Volume 24H,,,24시간 총 거래대금,X
,,Active Indices,,,활성 인덱스 개수,X
,,Top Gainer,,,가장 높은 수익률 인덱스,O
,,Total TVL,,,전체 예치 자산,X
,Top Movers Card,,,,상위 변동 인덱스 카드,X
,,Index_1,,,인덱스 1 (변동률 표시),X
,,Index_2,,,인덱스 2 (변동률 표시),X
,,Index_3,,,인덱스 3 (변동률 표시),X
,Mini Portfolio Card,,,,포트폴리오 요약 카드,X
,,View All,,,포트폴리오 페이지로 이동,X
,,Total Value,,,사용자 현재 총자산,X
,,Today's P&L,,,사용자 금일 손익,X
,,Total Return,,,총 수익률,X
,,Active Positions,,,사용자가 들고 있는 인덱스 상품 개수,X
,Recent Activity Card,,,,최근 활동 카드,X
,,Index Activity,,,최근 인덱스 활동들,X
,,New Position,,,최근 체결한 포지션,X
,Price Alerts Card,,,,가격 알림 설정 카드,X
,,Alerts List,,,설정된 알림 목록,X
,,,Individual Alert Items,,개별 알림 항목,X
,,,,Symbol & Condition,알림 조건 (심볼과 조건),X
,,,,Target Price,목표 가격,X
,,,,Pause/Resume Button,일시정지/재개 버튼,X
,,,,Delete Button,삭제 버튼,X
,,Add Alert Dialog,,,새 알림 추가 다이얼로그,X
,,,Symbol Input,,심볼 입력 필드,X
,,,Condition Select,,조건 선택 (위/아래),X
,,,Price Input,,목표 가격 입력,X
NetworkStatusWidget,,,,,네트워크 상태 위젯 (현재 사이드바에 있음),O
,Network Status,,,,네트워크 연결 상태,O
,,Status Light,,,신호등 (빨노초),O
,,Latency,,,레이턴시 (ms),O
,,Block Number,,,현재 블록 번호,O
,,Last Update,,,마지막 업데이트 시간,O
